model,n_input,n_output,cpu_usage,gpu_usage,execution_time
Qwen/Qwen2.5-7B-Instruct,191,35,0.5,61,4.278555631637573
Qwen/Qwen2.5-7B-Instruct,172,145,0.5,77,5.9088733196258545
Qwen/Qwen2.5-7B-Instruct,125,1024,0.5,84,19.04346513748169
Qwen/Qwen2.5-7B-Instruct,258,3,0.49999999999999994,0,3.717437982559204
Qwen/Qwen2.5-7B-Instruct,143,863,0.39999999999999997,82,16.63820195198059
Qwen/Qwen2.5-7B-Instruct,98,158,0.39999999999999997,76,6.061283349990845
Qwen/Qwen2.5-7B-Instruct,118,21,0.3,76,3.8793094158172607
Qwen/Qwen2.5-7B-Instruct,122,30,0.6,75,3.944695234298706
Qwen/Qwen2.5-7B-Instruct,99,870,0.39999999999999997,83,17.54301929473877
Qwen/Qwen2.5-7B-Instruct,86,54,-5.5,76,4.641638994216919
Qwen/Qwen2.5-7B-Instruct,115,615,-10.9,78,13.204955339431763
Qwen/Qwen2.5-7B-Instruct,101,665,0.3,82,13.824933528900146
Qwen/Qwen2.5-7B-Instruct,156,25,0.39999999999999997,75,4.088595628738403
Qwen/Qwen2.5-7B-Instruct,92,484,0.39999999999999997,79,10.828181743621826
Qwen/Qwen2.5-7B-Instruct,58,498,0.49999999999999994,79,11.24031686782837
Qwen/Qwen2.5-7B-Instruct,128,780,0.49999999999999994,81,15.318175077438354
Qwen/Qwen2.5-7B-Instruct,193,93,0.3,77,4.907236814498901
Qwen/Qwen2.5-7B-Instruct,91,796,0.39999999999999997,82,15.510648250579834
Qwen/Qwen2.5-7B-Instruct,95,20,0.4,75,3.6709558963775635
Qwen/Qwen2.5-7B-Instruct,85,724,0.5,81,14.609584093093872
Qwen/Qwen2.5-7B-Instruct,50,79,0.39999999999999997,76,4.990542411804199
Qwen/Qwen2.5-7B-Instruct,114,128,0.39999999999999997,77,5.307169437408447
Qwen/Qwen2.5-7B-Instruct,116,72,0.39999999999999997,76,4.638242959976196
Qwen/Qwen2.5-7B-Instruct,111,820,0.39999999999999997,81,15.8414785861969
Qwen/Qwen2.5-7B-Instruct,108,147,0.49999999999999994,60,5.866093158721924
Qwen/Qwen2.5-7B-Instruct,213,849,0.39999999999999997,83,16.29099416732788
Qwen/Qwen2.5-7B-Instruct,87,11,0.39999999999999997,66,3.8241169452667236
Qwen/Qwen2.5-7B-Instruct,102,45,0.39999999999999997,76,4.403829574584961
Qwen/Qwen2.5-7B-Instruct,116,16,0.49999999999999994,76,3.863924503326416
Qwen/Qwen2.5-7B-Instruct,119,848,0.49999999999999994,82,16.26801562309265
Qwen/Qwen2.5-7B-Instruct,102,538,6.1,79,12.082443237304688
Qwen/Qwen2.5-7B-Instruct,107,1024,0.3,83,18.96259355545044
Qwen/Qwen2.5-7B-Instruct,82,656,0.39999999999999997,82,13.263816595077515
Qwen/Qwen2.5-7B-Instruct,85,711,0.5,81,14.068124532699585
Qwen/Qwen2.5-7B-Instruct,84,299,0.49999999999999994,78,8.174685716629028
Qwen/Qwen2.5-7B-Instruct,386,11,0.39999999999999997,0,3.590599775314331
Qwen/Qwen2.5-7B-Instruct,128,720,0.49999999999999994,81,14.427039861679077
Qwen/Qwen2.5-7B-Instruct,68,38,0.49999999999999994,75,4.184671640396118
Qwen/Qwen2.5-7B-Instruct,141,675,0.6,81,13.66739535331726
Qwen/Qwen2.5-7B-Instruct,86,3,0.49999999999999994,0,3.597846746444702
Qwen/Qwen2.5-7B-Instruct,98,481,0.39999999999999997,80,10.824389457702637
Qwen/Qwen2.5-7B-Instruct,145,105,0.3,77,5.250399112701416
Qwen/Qwen2.5-7B-Instruct,101,795,0.39999999999999997,82,15.59349012374878
Qwen/Qwen2.5-7B-Instruct,152,110,0.5,77,5.297773838043213
Qwen/Qwen2.5-7B-Instruct,89,710,0.39999999999999997,81,14.418616533279419
Qwen/Qwen2.5-7B-Instruct,96,757,0.5,75,15.231436729431152
Qwen/Qwen2.5-7B-Instruct,120,313,0.39999999999999997,78,8.22120475769043
Qwen/Qwen2.5-7B-Instruct,95,858,0.4,82,16.444167137145996
Qwen/Qwen2.5-7B-Instruct,121,16,0.3,10,3.926278829574585
Qwen/Qwen2.5-7B-Instruct,98,947,0.5,64,18.162778854370117
