model,n_input,n_output,cpu_usage,gpu_usage,execution_time,system
Qwen/Qwen2.5-0.5B-Instruct,68,15,23.5,18,2.121216297149658,T4x2
Qwen/Qwen2.5-0.5B-Instruct,82,409,27.2,24,18.837700128555294,T4x2
Qwen/Qwen2.5-0.5B-Instruct,101,397,27.3,23,18.24714231491089,T4x2
Qwen/Qwen2.5-0.5B-Instruct,99,33,23.8,21,2.8728973865509038,T4x2
Qwen/Qwen2.5-0.5B-Instruct,277,203,28.5,23,10.158216714859009,T4x2
Qwen/Qwen2.5-0.5B-Instruct,111,567,26.9,24,25.462823152542114,T4x2
Qwen/Qwen2.5-0.5B-Instruct,123,88,24.6,21,5.152087926864624,T4x2
Qwen/Qwen2.5-0.5B-Instruct,152,36,25.2,23,3.0222809314727783,T4x2
Qwen/Qwen2.5-0.5B-Instruct,83,53,24.1,21,3.694244623184204,T4x2
Qwen/Qwen2.5-0.5B-Instruct,87,157,25.2,19,8.09630036354065,T4x2
Qwen/Qwen2.5-0.5B-Instruct,120,339,27.7,21,15.83757472038269,T4x2
Qwen/Qwen2.5-0.5B-Instruct,113,71,24.4,22,4.458199739456177,T4x2
Qwen/Qwen2.5-0.5B-Instruct,72,713,26.6,21,31.684638261795044,T4x2
Qwen/Qwen2.5-0.5B-Instruct,96,2,25.2,34,1.5583608150482178,T4x2
Qwen/Qwen2.5-0.5B-Instruct,99,383,25.4,22,17.734262704849243,T4x2
Qwen/Qwen2.5-0.5B-Instruct,99,886,26.4,20,38.7084481716156,T4x2
Qwen/Qwen2.5-0.5B-Instruct,107,243,28.5,23,11.842891216278076,T4x2
Qwen/Qwen2.5-0.5B-Instruct,193,90,24.5,22,5.2786054611206055,T4x2
Qwen/Qwen2.5-0.5B-Instruct,104,474,27.0,22,21.36172127723694,T4x2
Qwen/Qwen2.5-0.5B-Instruct,128,536,26.9,22,24.12519645690918,T4x2
Qwen/Qwen2.5-0.5B-Instruct,128,439,25.4,24,19.947241067886356,T4x2
Qwen/Qwen2.5-0.5B-Instruct,98,418,25.4,22,19.08595037460327,T4x2
Qwen/Qwen2.5-0.5B-Instruct,214,77,24.4,21,4.729942798614502,T4x2
Qwen/Qwen2.5-0.5B-Instruct,93,615,26.7,23,27.67968773841858,T4x2
Qwen/Qwen2.5-0.5B-Instruct,127,502,27.0,23,22.57289123535156,T4x2
Qwen/Qwen2.5-0.5B-Instruct,115,598,26.8,22,26.94794964790344,T4x2
Qwen/Qwen2.5-0.5B-Instruct,94,18,38.8,22,2.3206117153167725,T4x2
Qwen/Qwen2.5-0.5B-Instruct,87,24,23.7,21,2.489847183227539,T4x2
Qwen/Qwen2.5-0.5B-Instruct,86,265,28.3,19,12.748289823532104,T4x2
Qwen/Qwen2.5-0.5B-Instruct,107,16,23.8,20,2.134342670440674,T4x2
Qwen/Qwen2.5-0.5B-Instruct,104,381,25.5,20,17.515803575515747,T4x2
Qwen/Qwen2.5-0.5B-Instruct,101,20,23.7,20,2.308248996734619,T4x2
Qwen/Qwen2.5-0.5B-Instruct,129,53,25.3,21,3.748402118682861,T4x2
Qwen/Qwen2.5-0.5B-Instruct,115,1024,26.3,26,44.90712451934815,T4x2
Qwen/Qwen2.5-0.5B-Instruct,78,345,25.1,23,16.075308084487915,T4x2
Qwen/Qwen2.5-0.5B-Instruct,84,120,25.2,20,6.512502670288086,T4x2
Qwen/Qwen2.5-0.5B-Instruct,87,61,27.1,19,4.074882745742798,T4x2
Qwen/Qwen2.5-0.5B-Instruct,85,597,26.8,23,26.93603610992432,T4x2
Qwen/Qwen2.5-0.5B-Instruct,106,355,27.3,23,16.573102235794067,T4x2
Qwen/Qwen2.5-0.5B-Instruct,104,2,22.9,34,1.528982400894165,T4x2
Qwen/Qwen2.5-0.5B-Instruct,156,23,24.0,21,2.4295783042907715,T4x2
Qwen/Qwen2.5-0.5B-Instruct,122,19,25.8,20,2.2561159133911133,T4x2
Qwen/Qwen2.5-0.5B-Instruct,96,697,26.6,18,31.032188415527344,T4x2
Qwen/Qwen2.5-0.5B-Instruct,115,332,27.7,20,15.593880414962769,T4x2
Qwen/Qwen2.5-0.5B-Instruct,75,314,25.2,21,14.758833885192873,T4x2
Qwen/Qwen2.5-0.5B-Instruct,86,739,27.6,24,32.76852488517761,T4x2
Qwen/Qwen2.5-0.5B-Instruct,116,12,23.4,22,1.958547830581665,T4x2
Qwen/Qwen2.5-0.5B-Instruct,112,7,23.1,22,1.7320935726165771,T4x2
Qwen/Qwen2.5-0.5B-Instruct,125,650,26.6,21,28.744041681289676,T4x2
Qwen/Qwen2.5-0.5B-Instruct,130,75,24.7,22,4.690754413604736,T4x2
Qwen/Qwen2.5-0.5B-Instruct,98,390,25.4,21,17.878026723861694,T4x2
Qwen/Qwen2.5-0.5B-Instruct,83,4,22.6,35,1.6265745162963867,T4x2
Qwen/Qwen2.5-0.5B-Instruct,125,623,26.7,21,27.90920901298523,T4x2
Qwen/Qwen2.5-0.5B-Instruct,191,4,23.3,43,1.6530842781066897,T4x2
